id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11376810,Heritage house with big backyard,23674288,Joel,,Yarra,-37.7941,144.98364,Entire home/apt,,5,3,2018-01-16,0.03,1,0,0,
911079,Leigh's Place,4910818,Leigh,,Stonnington,-37.84777,144.9991,Private room,,1,20,2022-04-20,0.17,1,0,0,
9552076,Nice city room,49464843,Anchana,,Melbourne,-37.8098,144.95154,Shared room,,1,0,,,1,0,0,
8704300,Ground floor apartment in Toorak,42164197,Ian,,Stonnington,-37.84551,145.01254,Entire home/apt,,3,1,2016-01-25,0.01,1,0,0,
951632655829970870,Top floor on federation square,72201704,Ben,,Melbourne,-37.81638192055081,144.96737837899659,Entire home/apt,,1,2,2024-02-09,0.35,11,0,2,
36607214,"“Good vibes”

Stylish, clean and safe stay",167644392,Jenny,,Monash,-37.88537,145.10781,Private room,,1,10,2019-10-26,0.18,1,0,0,
21458743,Bright modern groovy 2BR apartment in Richmond,155507693,Suzy,,Yarra,-37.8251,145.01217,Entire home/apt,,1,5,2018-08-12,0.06,1,0,0,
11849384,Albert Park Grand Prix Lakeside Apt,2434494,Olivia,,Port Phillip,-37.85134,144.98064,Entire home/apt,,1,0,,,1,0,0,
12635046,Sunny-lovely comfortable Apt. 20 min from CBD,8668867,Caroline,,Moonee Valley,-37.74738,144.91243,Entire home/apt,,1,3,2016-07-14,0.03,1,0,0,
12918430,1 Bedroom apartment in South Yarra,49596910,Simone,,Stonnington,-37.84156,144.99844,Entire home/apt,,5,4,2017-10-01,0.05,1,0,0,
20001725,Two Single room rent,112291471,Junjun,,Casey,-37.98794,145.26386,Private room,,3,1,2017-10-23,0.01,1,365,0,
813346744799450125,"Melbourne parks,",7471997,Liam,,Port Phillip,-37.8387729,144.9755698,Private room,,2,1,2023-03-06,0.08,1,359,0,
